imdb_name_id,name,amount of movies
nm0718121,Max Reinhardt,1
nm0002158,Edvin Adolphson,1
nm0924065,Tim Whelan,16
nm0762616,Clifford Sanforth,1
nm0564971,Ray McCarey,10
nm0166700,Denison Clift,1
nm0802862,Douglas Sirk,34
nm0474631,Edward A. Kull,3
nm0568984,Wilbur McGaugh,2
nm0682744,Carl Pierson,2
nm0699693,Aleksandr Ptushko,10
nm0454028,Anthony Kimmins,12
nm0172151,Arthur Greville Collins,3
nm0289297,Wallace Fox,15
nm0344933,Edmond T. Gréville,6
nm0347451,Fred Guiol,6
nm0484645,Lew Landers,50
nm0466113,Zoltan Korda,14
nm0250038,Henry Edwards,2
nm0358213,William Hamilton,3
nm0453245,Edward Killy,14
nm0390226,Lansing C. Holden,1
nm0040658,Thomas Atkins,1
nm1262881,Raymond K. Johnson,3
nm0596410,Gustaf Molander,8
nm0945537,Sadao Yamanaka,3
nm0249325,Gustaf Edgren,3
nm0338017,Joseph Green,1
nm0637450,Jan Nowina-Przybylski,1
nm0627864,Sam Newfield,31
nm0954394,Alfred Zeisler,5
nm0793646,Hiroshi Shimizu,6
nm0693281,H.C. Potter,18
nm0740537,Wells Root,2
nm0419265,Leigh Jason,15
nm0928781,Gordon Wiles,3
nm0823864,Ralph Staub,4
nm0041678,John H. Auer,10
nm0454734,George King,11
nm0883357,Vladimir Vaynshtok,2
nm0138893,Marcel Carné,17
nm0826873,Frederick Stephani,1
nm0936252,Frank Wisbar,7
nm0235066,Gordon Douglas,69
nm0175091,Marc Connelly,1
nm0000817,Lew Ayres,1
nm0915007,Nate Watt,7
nm0829038,Robert Stevenson,33
nm0329574,Leslie Goodwins,21
nm0080868,Herbert J. Biberman,4
nm0281556,Walter Reisch,2
nm0311174,Béla Gaál,1
nm0078016,André Berthomieu,1
nm0246206,Efim Dzigan,1
nm0640248,William A. O'Connor,1
nm0391750,Ben Holmes,6
nm0350947,Emilio Gómez Muriel,1
nm0054787,Geoffrey Barkas,2
nm0198868,Vishnupant Govind Damle,1
nm0268909,Sheikh Fattelal,1
nm0314046,Sergey Gerasimov,7
nm0178057,George A. Cooper,1
nm0932625,J. Elder Wills,2
nm0565187,John P. McCarthy,1
nm0268513,John Farrow,44
nm0467396,Henry Koster,39
nm0520419,Del Lord,3
nm0799575,Isidor Simkov,2
nm0546245,Samad Mardanov,1
nm0882795,Valentin Vaala,7
nm0065442,Jacques Becker,14
nm0142035,Henri Cartier-Bresson,1
nm0237836,Jean-Paul Le Chanois,10
nm1103140,Maurice Lime,1
nm0881252,Pierre Unik,1
nm0959077,André Zwoboda,1
nm0155469,Pierre Chenal,6
nm0257638,John English,23
nm0745498,Aleksandr Rou,14
nm0497961,Norman Lee,4
nm0523893,Arthur Lubin,38
nm0695937,Otto Preminger,33
nm0776838,Harold D. Schuster,14
nm0406591,Tancred Ibsen,3
nm0952610,Gero Zambuto,1
nm0517659,Stanley Logan,4
nm0779131,Ewing Scott,1
nm0792450,George Sherman,51
nm0782947,Lesley Selander,78
nm0715669,Roland D. Reed,1
nm0883334,Ladislao Vajda,7
nm0711855,Gregory Ratoff,21
nm0890565,Dmitriy Vasilev,2
nm0437717,Garson Kanin,9
nm0531674,David MacDonald,13
nm0936823,William Witney,56
nm0383856,Weyler Hildebrand,1
nm0678203,Vladimir Petrov,4
nm0303120,Carmine Gallone,5
nm0794973,Lynn Shores,2
nm0072872,Thomas Bentley,1
nm0846505,Errol Taggart,1
nm0183183,William Cottrell,1
nm0359457,David Hand,6
nm0414144,Wilfred Jackson,9
nm0604392,Larry Morey,1
nm0668998,Perce Pearce,1
nm0789313,Ben Sharpsteen,3
nm0198202,Ian Dalrymple,3
nm0783461,David Selman,1
nm0287988,Norman Foster,25
nm0321216,Wyndham Gittens,1
nm0728307,Robert Riskin,1
nm0163332,Robert Clampett,2
nm0874497,Glenn Tryon,4
nm0256586,E.W. Emo,1
nm0208524,Chianca de Garcia,1
nm0715346,Carol Reed,24
nm0308178,Otis Garrett,2
nm0185385,John T. Coyle,1
nm0872112,Luis Trenker,1
nm0466112,Vincent Korda,1
nm0951170,Sergei Yutkevich,5
nm0374702,Stuart Heisler,21
nm0233091,Mark Donskoy,6
nm0160108,Christian-Jaque,22
nm0801717,Robert B. Sinclair,9
nm0634524,William L. Nolte,1
nm0913773,Michal Waszynski,1
nm0498584,Herbert I. Leeds,12
nm0103975,John Brahm,17
nm0108575,Clarence Bricker,1
nm0517597,Joshua Logan,11
nm0727999,Arthur Ripley,5
nm0876343,Teuvo Tulio,8
nm0175265,Bobby Connolly,1
nm0928108,Crane Wilbur,9
nm0873152,Leon Trystan,1
nm0322481,Maurice Gleize,1
nm0355010,Sonnie Hale,1
nm0800373,S. Sylvan Simon,29
nm0083433,Richard Bird,1
nm0940499,Arthur B. Woods,3
nm0000080,Orson Welles,6
nm0635969,Yrjö Norta,2
nm0845290,T.J. Särkkä,6
nm0690143,Erich Pommer,1
nm0118807,Harold S. Bucquet,17
nm0695456,Gilbert Pratt,1
nm0275312,Jan Fethke,1
nm0866299,Konrad Tom,1
nm0002542,Terry O. Morse,12
nm0225555,Thorold Dickinson,7
nm0213940,Henri Decoin,15
nm0938439,P.J. Wolfson,1
nm0434908,Richard C. Kahn,4
nm0004454,Jean Boyer,8
nm0062759,John Baxter,3
nm0502567,Arthur H. Leonard,2
nm0499722,Maurice Lehmann,1
nm0002193,Claude Autant-Lara,19
nm0281487,Dave Fleischer,2
nm0101466,Willard Bowsky,2
nm0130725,Orestes Calpini,1
nm0186276,Roland Crandall,1
nm0377431,William Henning,1
nm0396043,Winfield Hoskins,1
nm0436132,László Kalmár,1
nm0007220,Ricardo Cortez,1
nm0000036,Buster Keaton,3
nm0170973,Charles C. Coleman,1
nm0512798,Emil A. Lingheim,1
nm0556737,Herbert Mason,2
nm0272059,Leslie Fenton,13
nm0036881,E. Aron,1
nm0116103,Adrian Brunel,1
nm0221423,Brian Desmond Hurst,12
nm0324013,Peter Godfrey,15
nm0216381,Jean Delannoy,21
nm0218503,Norman Deming,1
nm0625726,Sam Nelson,1
nm0811204,Robert R. Snody,1
nm0709850,George Randol,1
nm0869664,Jacques Tourneur,29
nm0538632,Masahiro Makino,2
nm0387002,Jack Hively,9
nm0328966,Saul A. Goodkind,2
nm0855147,Pen Tennyson,2
nm0792605,Vincent Sherman,30
nm0141351,John Paddy Carstairs,16
nm0407872,Wilho Ilmari,1
nm0813216,Yuliya Solntseva,4
nm0701576,Ivan Pyrev,6
nm0512548,Leopold Lindtberg,3
nm0134898,Frantisek Cáp,3
nm0509327,Wolfgang Liebeneiner,7
nm0507390,Joseph H. Lewis,24
nm0002545,Preston Sturges,11
nm0332531,Alfred J. Goulding,2
nm0624535,Jean Negulesco,37
nm0766850,John Monk Saunders,1
nm0789583,Alexander Shaw,1
nm0852286,Donald Taylor,1
nm0940453,Frank Woodruff,6
nm0946391,Jean Yarbrough,25
nm0019282,James Algar,5
nm0035899,Samuel Armstrong,3
nm1968474,Ford Beebe Jr.,2
nm0272568,Norman Ferguson,4
nm0359610,Jim Handley,1
nm0712639,John Rawlins,12
nm0363235,Veit Harlan,7
nm0511399,Per Lindberg,1
nm0477702,Helmut Käutner,22
nm0414985,Georg Jacoby,2
nm0922391,William West,2
nm0758508,Sidney Salkow,24
nm0718321,Irving Reis,16
nm0729984,Hal Roach Jr.,1
nm0373429,T. Hee,1
nm0455741,Jack Kinney,12
nm0527217,Hamilton Luske,12
nm0730860,Bill Roberts,5
nm0657535,Amleto Palermi,1
nm0080615,Giorgio Bianchi,6
nm0363356,John Harlow,5
nm0409069,Boris Ingster,3
nm0062183,Schamyl Bauman,1
nm0801805,Leif Sinding,1
nm0056334,Jacques de Baroncelli,1
nm0697895,LeRoy Prinz,2
nm0588183,David Miller,21
nm0213136,Basil Dearden,40
nm0817035,Robert Sparks,1
nm0008999,Derwin Abrahams,4
nm0229424,Edward Dmytryk,38
nm0173806,Lance Comfort,17
nm0480190,Georges Lacombe,8
nm0294243,Charles Frend,12
nm0762489,Toralf Sandø,1
nm0796645,George Sidney,28
nm0001120,Vittorio De Sica,27
nm0071796,Hugh Bennett,5
nm0191386,Shamus Culhane,1
nm0255195,H.C. Ellison,1
nm0426322,Thomas Johnson,1
nm0686334,Graham Place,1
