year,month,genre,duration,first country,second country,Is second country,first language,second language,Is second language,production company,budget,first actor age,first actor amount of movies,first actor gender,second actor age,second actor amount of movies,second actor gender,director amount of movies,average rating
1929.0,6.0,1544.0,100,1.0,-1.0,0,1.0,-1.0,0,1.0,379000.0,31.0,9.0,2.0,19.0,9.0,2.0,26.0,5.7
1929.0,5.0,1554.0,90,1.0,-1.0,0,1.0,-1.0,0,57.0,550000.0,38.0,32.0,1.0,41.0,1.0,1.0,5.0,6.4
1929.0,8.0,1178.0,96,1.0,-1.0,0,1.0,-1.0,0,4.0,500000.0,39.0,16.0,1.0,41.0,7.0,1.0,31.0,7.0
1929.0,11.0,1472.0,86,1.0,-1.0,0,1.0,-1.0,0,57.0,600000.0,38.0,32.0,1.0,27.0,26.0,2.0,25.0,6.4
1929.0,4.0,1557.0,76,1.0,-1.0,0,1.0,-1.0,0,5580.0,489106.0,37.0,29.0,2.0,25.0,7.0,1.0,17.0,5.8
1929.0,12.0,1938.0,97,1.0,-1.0,0,1.0,3.0,1,1.0,487000.0,30.0,16.0,1.0,23.0,5.0,2.0,24.0,6.1
1929.0,1.0,586.0,100,1.0,-1.0,0,1.0,-1.0,0,1.0,385000.0,30.0,16.0,1.0,29.0,5.0,1.0,10.0,6.6
1928.0,3.0,1472.0,113,1.0,-1.0,0,1.0,-1.0,0,10038.0,750000.0,21.0,2.0,2.0,30.0,1.0,2.0,41.0,7.2
1929.0,11.0,1557.0,62,1.0,-1.0,0,1.0,-1.0,0,1.0,257000.0,24.0,24.0,2.0,32.0,18.0,1.0,14.0,6.9
1929.0,9.0,1180.0,107,1.0,-1.0,0,1.0,3.0,1,4.0,650000.0,41.0,16.0,1.0,26.0,25.0,2.0,39.0,7.1
1929.0,10.0,677.0,95,1.0,-1.0,0,1.0,-1.0,0,1.0,1130000.0,51.0,43.0,1.0,29.0,1.0,2.0,3.0,6.1
1928.0,8.0,1575.0,135,1.0,-1.0,0,1.0,-1.0,0,2.0,1005000.0,25.0,8.0,2.0,29.0,16.0,1.0,99.0,6.5
1929.0,7.0,1963.0,104,1.0,-1.0,0,1.0,3.0,1,2.0,493000.0,24.0,30.0,1.0,32.0,13.0,2.0,16.0,5.8
1929.0,2.0,591.0,82,1.0,-1.0,0,1.0,-1.0,0,4.0,472000.0,36.0,35.0,1.0,16.0,1.0,2.0,13.0,6.8
1929.0,1.0,1955.0,103,1.0,-1.0,0,1.0,3.0,1,16.0,647000.0,31.0,3.0,2.0,38.0,2.0,1.0,10.0,6.1
1929.0,12.0,1190.0,72,1.0,-1.0,0,1.0,-1.0,0,7.0,251000.0,36.0,35.0,1.0,22.0,1.0,2.0,8.0,6.1
1929.0,6.0,1568.0,70,1.0,-1.0,0,1.0,-1.0,0,6.0,50000.0,28.0,3.0,1.0,22.0,5.0,2.0,35.0,6.3
1929.0,12.0,1955.0,128,1.0,-1.0,0,1.0,-1.0,0,2.0,850000.0,38.0,4.0,1.0,54.0,2.0,1.0,10.0,5.8
1929.0,11.0,1193.0,63,1.0,-1.0,0,1.0,-1.0,0,2058.0,504000.0,37.0,29.0,2.0,46.0,18.0,1.0,17.0,6.3
