imdb_title_id,director_id,movies_number
tt0020929,nm0342417,15
tt0020938,nm0337586,59
tt0020945,nm0806061,8
tt0020949,nm0831577,19
tt0020959,nm0454771,44
tt0020960,nm0400652,2
tt0020966,nm0307819,36
tt0020980,nm0654868,33
tt0020985,nm0341486,15
tt0020987,nm0166836,22
tt0021001,nm0690120,1
tt0021013,nm0001843,19
tt0021016,nm0124877,50
tt0021025,nm0026960,1
tt0021040,nm0001008,31
tt0021042,nm0291548,24
tt0021044,nm0803705,9
tt0021048,nm0515979,26
tt0021053,nm0195496,4
tt0021060,nm0502752,54
tt0021061,nm0564970,18
tt0021069,nm0215877,54
tt0021070,nm0112897,10
tt0021074,nm0097648,49
tt0021079,nm0503777,66
tt0021087,nm0928514,3
tt0021090,nm0064600,26
tt0021094,nm0825596,10
tt0021100,nm0718469,20
tt0021102,nm0114266,3
tt0021106,nm0001124,41
tt0021110,nm0002031,99
tt0021121,nm0007973,7
tt0021128,nm0000033,55
tt0021132,nm0002031,99
tt0021133,nm0920074,60
tt0021134,nm0671501,2
tt0021140,nm0000406,73
tt0021148,nm0384276,10
tt0021149,nm0045800,78
tt0021152,nm0820461,15
tt0021153,nm0523932,39
tt0021156,nm0903049,22
tt0021165,nm0000033,55
tt0021178,nm0176699,43
tt0021189,nm0896542,37
tt0021191,nm0045800,78
tt0021197,nm0045800,78
tt0021216,nm0227020,10
tt0021217,nm0825596,10
tt0021223,nm0064600,26
tt0021224,nm0115218,21
tt0021225,nm0590701,3
tt0021228,nm0939992,47
tt0021232,nm0002188,14
tt0021239,nm0356931,6
tt0021240,nm0210352,4
tt0021247,nm0344927,13
tt0021263,nm0503777,66
tt0021268,nm0698839,8
tt0021273,nm0312866,4
tt0021276,nm0806143,3
tt0021280,nm0280463,18
tt0021281,nm0280463,18
tt0021282,nm0001008,31
tt0021283,nm0654868,33
tt0021287,nm0332539,32
tt0021292,nm0629243,10
tt0021294,nm0342417,15
tt0021295,nm0281808,25
tt0021297,nm0498174,21
tt0021303,nm0002031,99
tt0021304,nm0064415,75
tt0021307,nm0000859,6
tt0021309,nm0823089,1
tt0021310,nm0113284,43
tt0021322,nm0002030,57
tt0021324,nm0187981,2
tt0021331,nm0168413,6
tt0021335,nm0002188,14
tt0021345,nm0000859,6
tt0021365,nm0102643,12
tt0021371,nm0503777,66
tt0021374,nm0002179,33
tt0021377,nm0825596,10
tt0021381,nm0012317,10
tt0021382,nm0939992,47
tt0021394,nm0045800,78
tt0021400,nm0515979,26
tt0021401,nm0097648,49
tt0021406,nm0654868,33
tt0021408,nm0831577,19
tt0021409,nm0163229,23
tt0021413,nm0227020,10
tt0021420,nm0188669,35
tt0021435,nm0782682,57
tt0021439,nm0337586,59
tt0021463,nm0188669,35
tt0021464,nm0176699,43
tt0021472,nm0215877,54
tt0021483,nm0188669,35
tt0021484,nm0002489,3
tt0021486,nm0503777,66
tt0021492,nm0878338,24
tt0021493,nm0782682,57
tt0021505,nm0176699,43
tt0021508,nm0000406,73
tt0021511,nm0003490,2
tt0021525,nm0002030,57
tt0021531,nm0783629,8
tt0021533,nm0629243,10
tt0021534,nm0939992,47
tt0021542,nm0655065,20
tt0021549,nm0293260,10
tt0021550,nm0562845,34
tt0021551,nm0166836,22
tt0021568,nm0068419,7
tt0021571,nm0235590,8
tt0021577,nm0000320,30
tt0021580,nm0314351,10
tt0021594,nm0409781,1
tt0021595,nm0012317,10
tt0021599,nm0689455,2
tt0021606,nm0853130,17
tt0021607,nm0903049,22
tt0021615,nm0749484,25
tt0021622,nm0000406,73
tt0021633,nm0502752,54
tt0021635,nm0097648,49
tt0021636,nm0377126,5
tt0021647,nm0215877,54
tt0021649,nm0114266,3
tt0021653,nm0366781,5
tt0021654,nm0433292,2
